geneID	epidermis	cortex	columella	stelle	endodermis
AT4G19300	0.0	0.0	0.0	0.0	0.0
AT4G19305	0.0	0.0	0.0	0.0	0.0
AT4G19310	0.0	0.0	0.0	0.0	0.0
AT4G19320	0.0	0.0	0.0	0.0	0.0
AT4G19330	0.0	0.0	0.0	0.0	0.0
AT4G19340	0.0	0.0	0.0	0.0	0.0
AT4G19350	6.02411	11.6287	11.1884	16.1328	16.86925
AT4G19360	0.0	0.0	0.0	0.0	0.0
AT4G19370	0.025428799999999998	0.0395454	0.0469125	0.0118037	0.0573276
AT4G19380	0.0	0.00738212	0.0	0.00457804	0.00219167
AT4G19390	0.9189579999999999	0.7189479999999999	9.80955	1.2887	8.28974
AT4G19395	11.0738	0.635725	39.9889	2.68375	3.93781
AT4G19400	12.4623	8.34432	10.5123	16.0072	11.95955
AT4G19410	76.59899999999999	334.208	18.9161	105.205	165.606
AT4G19420	14.2409	4.96835	5.24303	1.68537	17.03099
AT4G19430	0.0	0.0	0.0	0.0	0.0
AT4G19440	3.0556900000000002	3.71748	2.4462200000000003	5.60735	2.90775
AT4G19450	3.49904	6.467169999999999	14.9012	12.2043	10.290325
AT4G19452	0.176699	0.037331699999999995	0.505247	0.274052	0.5964149999999999
AT4G19460	4.9063	0.386273	23.3501	0.0653773	0.32618305000000003
AT4G19470	0.0210299	0.0159222	0.08792430000000001	0.00965517	0.004956605
AT4G19480	0.0	0.0604736	0.192598	0.0372619	0.0
AT4G19490	22.7971	47.6758	27.772	43.5684	28.7557
AT4G19500	1.14296	1.98565	5.46399	5.61831	3.073465
AT4G19510	0.6098180000000001	0.8945930000000001	4.4345099999999995	1.9971599999999998	1.928585
AT4G19520	0.47132299999999994	0.0823405	12.6747	0.016637	0.054180500000000006
AT4G19530	0.0895128	0.0325948	0.0183813	0.049903699999999995	0.12345935
AT4G19540	5.97989	11.8779	6.07295	10.0572	8.47682
AT4G19550	5.20745	8.32896	9.28546	11.2389	6.281315
AT4G19560	0.468733	0.58828	3.46464	1.7935599999999998	0.8006525
AT4G19570	0.00607121	0.019897400000000003	0.141931	0.0189433	0.0
AT4G19580	0.0	0.0	0.392081	0.0	0.0
AT4G19590	0.49217299999999997	1.13555	0.365471	3.17689	1.300887
AT4G19600	6.72055	11.6164	13.5405	18.9386	11.25954
AT4G19610	4.16132	9.53387	11.1521	23.655	9.042815000000001
AT4G19620	0.0	0.0	0.0	0.0	0.0
AT4G19630	0.145717	0.40939200000000003	0.0641343	0.687577	0.3332915
AT4G19633	0.734271	0.054007799999999995	0.0427282	0.104147	0.28312620000000005
AT4G19640	65.9213	46.8985	91.4661	39.6901	69.1631
AT4G19645	3.00792	0.053143600000000006	1.51299	0.034036500000000004	1.3281067999999998
AT4G19650	0.40520700000000004	2.3618900000000003	1.13323	5.7022699999999995	1.823614
AT4G19660	25.5089	11.3145	39.3461	9.429030000000001	13.50608
AT4G19670	17.6079	5.76181	19.4777	16.3442	25.1016
AT4G19680	46.4522	0.613482	0.258635	0.39919499999999997	1.6313374999999999
AT4G19690	0.21378899999999998	0.0330114	0.012714399999999999	0.04050619999999999	0.08552710000000001
AT4G19700	26.7644	4.38358	47.6482	7.856669999999999	14.49025
AT4G19710	7.94653	23.8772	9.04208	36.5717	19.30085
AT4G19720	0.138012	0.14168599999999998	0.38205100000000003	0.028544099999999996	7.115311
AT4G19730	0.0121776	0.0	0.013615899999999998	0.0	0.0
AT4G19740	0.0	0.0	0.0	0.0	0.0
AT4G19750	0.010402400000000001	0.0	0.0	0.0	0.0
AT4G19760	0.010537600000000001	0.0	0.0	0.0	0.0
AT4G19770	0.15082	0.0	0.0	0.0	0.0
AT4G19780	0.0	0.0	0.0	0.0	0.0
AT4G19790	0.0	0.0	0.0	0.0	0.0
AT4G19800	0.00913467	0.0	0.0	0.0	0.0
AT4G19810	0.05638390000000001	0.028704200000000003	0.0	0.00869821	0.00434132
AT4G19820	0.0	0.0	0.012730700000000001	0.0	0.0
AT4G19829	0.301507	0.21875999999999998	1.42195	0.28173400000000004	0.282501
AT4G19830	1.45786	1.67841	3.4441900000000003	1.12296	2.3337049999999997
AT4G19840	0.13355	0.398366	1.06016	0.0198234	1.10812375
AT4G19850	0.276131	0.162429	0.76632	0.020341400000000003	0.1574509
AT4G19860	37.0061	26.9488	49.6895	13.4001	48.9519
AT4G19865	7.842910000000001	3.12775	4.18157	4.40313	3.873865
AT4G19870	21.9595	5.15325	16.881	7.04374	11.479025
AT4G19880	233.62900000000002	119.677	302.295	17.6041	259.87615
AT4G19890	0.8395799999999999	2.12093	2.33373	4.5902400000000005	2.048835
AT4G19900	7.06945	18.3328	11.4433	16.0674	9.81776
AT4G19902	0.11689400000000001	0.177878	0.566814	0.338673	0.0
AT4G19905	0.0	0.0	0.0	0.0	0.0
AT4G19910	0.0	0.0	0.0	0.0	0.050252700000000004
AT4G19920	0.109046	0.0198571	0.0309057	0.0117111	4.2413915
AT4G19925	0.0	0.0	0.0	0.0	0.0074304
AT4G19930	0.0	0.0	0.0	0.0	0.0
AT4G19940	0.0	0.0169268	0.0	0.021281900000000003	0.0
AT4G19950	1.36942	0.48571099999999995	9.784239999999999	0.054671500000000005	0.606603
AT4G19960	5.28587	1.71514	15.9437	0.279649	1.6249615
AT4G19970	1.80558	0.329358	0.028868099999999997	0.016729	0.0867528
AT4G19980	1.10935	4.43339	1.7285	2.49002	1.4633919999999998
AT4G19985	2.03163	5.53645	1.6632900000000002	3.51214	3.7048050000000003
